step,eid,source_edge_id,duplicate,support_type,turn_deg,transition_location,avoidable_interior_bend,length_2d,A_start_deg,Z_start_mm,A_end_deg,Z_end_mm,X3_start_mm,Y3_start_mm,X3_end_mm,Y3_end_mm,surface_length_mm,dE_mm,E_abs_mm,from_node,to_node
36,76,87,False,CONTACT_SUPPORT,180.0,INTERIOR,True,4.0,192.47524752475252,15.0,263.76237623762376,15.0,-3.9055576822544276,-0.8640712879059361,-0.4346086003418975,-3.9763193237602104,4.976780441330362,0.24829258436047671,6.791282731013506,52,53
37,77,53,False,CONTACT_SUPPORT,120.96375653207355,INTERIOR,False,2.332380757938121,263.76237623762376,15.0,242.3762376237624,17.5,-0.4346086003418975,-3.9763193237602104,-1.8546541279413091,-3.544045437873259,2.9118981645155033,0.14527518928860247,6.936557920302109,53,61
38,88,61,False,CONTACT_SUPPORT,61.9275130641471,INTERIOR,False,2.332380757938121,242.3762376237624,17.5,263.76237623762376,20.0,-1.8546541279413091,-3.544045437873259,-0.4346086003418975,-3.9763193237602104,2.9118981645155033,0.14527518928860247,7.081833109590711,61,69
39,94,94,False,UNSUPPORTED,120.96375653207355,BOUNDARY,False,4.0,263.76237623762376,20.0,192.47524752475252,20.0,-0.4346086003418975,-3.9763193237602104,-3.9055576822544276,-0.8640712879059361,4.976780441330362,0.24829258436047671,7.330125693951188,69,68
40,87,60,False,UNSUPPORTED,120.96375653207352,BOUNDARY,False,2.33238075793812,192.47524752475252,20.0,213.86138613861388,17.5,-3.9055576822544276,-0.8640712879059361,-3.3215519310591897,-2.2287424187817146,2.9118981645155033,0.14527518928860247,7.47540088323979,68,60
41,97,90,True,OVERPRINT,120.96375653207352,INTERIOR,True,3.8000000000000007,213.86138613861388,17.5,146.13861386138612,17.5,-3.3215519310591897,-2.2287424187817146,-3.3215519310591892,2.2287424187817155,4.72794141926385,0.2358779551424532,7.711278838382244,60,59
42,74,51,False,UNSUPPORTED,120.96375653207355,INTERIOR,False,2.332380757938121,146.13861386138612,17.5,167.52475247524754,15.0,-3.3215519310591892,2.2287424187817155,-3.905557682254428,0.8640712879059336,2.911898164515505,0.14527518928860256,7.856554027670846,59,51
43,98,86,True,OVERPRINT,120.96375653207355,INTERIOR,True,4.0,167.52475247524754,15.0,96.23762376237626,15.0,-3.905557682254428,0.8640712879059336,-0.43460860034189924,3.9763193237602104,4.976780441330365,0.24829258436047685,8.104846612031324,51,50
44,72,50,False,UNSUPPORTED,120.96375653207352,INTERIOR,False,2.33238075793812,96.23762376237626,15.0,117.62376237623762,17.5,-0.43460860034189924,3.9763193237602104,-1.8546541279413082,3.5440454378732595,2.9118981645155033,0.14527518928860247,8.250121801319926,50,58
45,112,89,True,OVERPRINT,120.96375653207352,INTERIOR,True,3.8,117.62376237623762,17.5,49.900990099009896,17.5,-1.8546541279413082,3.5440454378732595,2.5764416458015917,3.0597301262985903,4.727941419263848,0.23587795514245308,8.485999756462379,58,57
46,83,89,False,CONTACT_SUPPORT,180.0,INTERIOR,True,3.8,49.900990099009896,17.5,117.62376237623762,17.5,2.5764416458015917,3.0597301262985903,-1.8546541279413082,3.5440454378732595,4.727941419263848,0.23587795514245308,8.721877711604831,57,58
47,84,58,False,CONTACT_SUPPORT,120.96375653207352,INTERIOR,False,2.33238075793812,117.62376237623762,17.5,96.23762376237626,20.0,-1.8546541279413082,3.5440454378732595,-0.43460860034189924,3.9763193237602104,2.9118981645155033,0.14527518928860247,8.867152900893434,58,66
48,93,93,False,UNSUPPORTED,120.96375653207352,BOUNDARY,False,4.0,96.23762376237626,20.0,167.52475247524754,20.0,-0.43460860034189924,3.9763193237602104,-3.905557682254428,0.8640712879059336,4.976780441330365,0.24829258436047685,9.115445485253911,66,67
49,85,59,False,CONTACT_SUPPORT,120.96375653207355,BOUNDARY,False,2.332380757938121,167.52475247524754,20.0,146.13861386138612,17.5,-3.905557682254428,0.8640712879059336,-3.3215519310591892,2.2287424187817155,2.911898164515505,0.14527518928860256,9.260720674542513,67,59
50,86,90,False,CONTACT_SUPPORT,120.96375653207355,INTERIOR,True,3.8000000000000007,146.13861386138612,17.5,213.86138613861388,17.5,-3.3215519310591892,2.2287424187817155,-3.3215519310591897,-2.2287424187817146,4.72794141926385,0.2358779551424532,9.496598629684966,59,60
51,75,52,False,CONTACT_SUPPORT,120.96375653207352,INTERIOR,False,2.33238075793812,213.86138613861388,17.5,192.47524752475252,15.0,-3.3215519310591897,-2.2287424187817146,-3.9055576822544276,-0.8640712879059361,2.9118981645155033,0.14527518928860247,9.641873818973568,60,52
